Description,Price,Rating,ReviewCount,Url
Apple iPhone 12 (128GB) - Black,55999,4.6 out of 5 stars,"3,354",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5WD9D6/ref=sr_1_16?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-16
Apple iPhone 14 128GB Midnight,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_17?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-17
Apple iPhone 13 (128GB) - (Product) RED,65900,4.6 out of 5 stars,"4,520",https://www.amazon.in//Apple-iPhone-13-128GB-Product/dp/B09G99CW2N/ref=sr_1_18?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-18
Apple iPhone 13 (128GB) - Pink,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNTcwNDM0NjQyNTk4ODA4OjE2Njg4MDcyNDE6c3BfYXRmOjIwMDc0MjM1MTE4MDAzOjowOjo&url=%2FApple-iPhone-13-128GB-Pink%2Fdp%2FB09G9FPGTN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807241%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 13 Mini (128GB) - Pink,64900,4.5 out of 5 stars,"1,341",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNTcwNDM0NjQyNTk4ODA4OjE2Njg4MDcyNDE6c3BfYXRmOjIwMDMwOTI2MTQ2Mjk4OjowOjo&url=%2FApple-iPhone-13-Mini-128GB%2Fdp%2FB09G9L2B3L%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807241%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 12 (128GB) - Green,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5VJWCV/ref=sr_1_3?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-3
Apple iPhone 12 (64GB) - Green,48900,4.6 out of 5 stars,"1,299",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5W16HX/ref=sr_1_4?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-4
Apple iPhone 13 (128GB) - Green,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-5
Apple iPhone 14 128GB Blue,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_6?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-6
Apple iPhone 12 (128GB) - Purple,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B0932MD32V/ref=sr_1_7?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-7
Apple iPhone 12 (64GB) - (Product) RED,48900,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5TGWD1/ref=sr_1_8?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-8
Apple iPhone 11 (64GB) - White,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8C1NJ3/ref=sr_1_9?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-9
Apple iPhone 11 (64GB) - Black,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8DV7BX/ref=sr_1_10?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-10
Apple iPhone 12 (64GB) - Purple,50999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B0932QYBH8/ref=sr_1_11?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-11
Apple iPhone 14 Plus 128GB Blue,88400,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-128GB-Blue/dp/B0BDK62STN/ref=sr_1_12?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-12
Apple iPhone 13 Pro (128GB) - Graphite,111900,4.6 out of 5 stars,"1,492",https://www.amazon.in//Apple-iPhone-13-Pro-128GB/dp/B09G91LWTZ/ref=sr_1_13?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-13
Apple iPhone 14 Plus 256GB Blue,99900,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-256GB-Blue/dp/B0BDJQHJZZ/ref=sr_1_14?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-14
Apple iPhone 14 Plus 128GB Midnight,88400,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-128GB-Midnight/dp/B0BDJKL7KM/ref=sr_1_15?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-15
Apple iPhone 12 (128GB) - Black,55999,4.6 out of 5 stars,"3,354",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5WD9D6/ref=sr_1_16?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-16
Apple iPhone 14 128GB Midnight,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_17?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-17
Apple iPhone 13 (128GB) - (Product) RED,65900,4.6 out of 5 stars,"4,520",https://www.amazon.in//Apple-iPhone-13-128GB-Product/dp/B09G99CW2N/ref=sr_1_18?keywords=Apple+iphone&qid=1668807241&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-18
Apple iPhone 13 (128GB) - Pink,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2MTY0NjIwNjEzODI5ODQ2OjE2Njg4MDcyNDM6c3BfYXRmOjIwMDc0MjM1MTE4MDAzOjowOjo&url=%2FApple-iPhone-13-128GB-Pink%2Fdp%2FB09G9FPGTN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807243%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 13 Mini (128GB) - Pink,64900,4.5 out of 5 stars,"1,341",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2MTY0NjIwNjEzODI5ODQ2OjE2Njg4MDcyNDM6c3BfYXRmOjIwMDMwOTI2MTQ2Mjk4OjowOjo&url=%2FApple-iPhone-13-Mini-128GB%2Fdp%2FB09G9L2B3L%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807243%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 12 (128GB) - Green,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5VJWCV/ref=sr_1_3?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-3
Apple iPhone 12 (64GB) - Green,48900,4.6 out of 5 stars,"1,299",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5W16HX/ref=sr_1_4?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-4
Apple iPhone 13 (128GB) - Green,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-5
Apple iPhone 14 128GB Blue,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_6?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-6
Apple iPhone 12 (128GB) - Purple,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B0932MD32V/ref=sr_1_7?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-7
Apple iPhone 12 (64GB) - (Product) RED,48900,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5TGWD1/ref=sr_1_8?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-8
Apple iPhone 11 (64GB) - White,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8C1NJ3/ref=sr_1_9?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-9
Apple iPhone 11 (64GB) - Black,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8DV7BX/ref=sr_1_10?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-10
Apple iPhone 12 (64GB) - Purple,50999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B0932QYBH8/ref=sr_1_11?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-11
Apple iPhone 14 Plus 128GB Blue,88400,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-128GB-Blue/dp/B0BDK62STN/ref=sr_1_12?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-12
Apple iPhone 13 Pro (128GB) - Graphite,111900,4.6 out of 5 stars,"1,492",https://www.amazon.in//Apple-iPhone-13-Pro-128GB/dp/B09G91LWTZ/ref=sr_1_13?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-13
Apple iPhone 14 Plus 256GB Blue,99900,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-256GB-Blue/dp/B0BDJQHJZZ/ref=sr_1_14?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-14
Apple iPhone 14 Plus 128GB Midnight,88400,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-128GB-Midnight/dp/B0BDJKL7KM/ref=sr_1_15?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-15
Apple iPhone 12 (128GB) - Black,55999,4.6 out of 5 stars,"3,354",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5WD9D6/ref=sr_1_16?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-16
Apple iPhone 14 128GB Midnight,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_17?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-17
Apple iPhone 13 (128GB) - (Product) RED,65900,4.6 out of 5 stars,"4,520",https://www.amazon.in//Apple-iPhone-13-128GB-Product/dp/B09G99CW2N/ref=sr_1_18?keywords=Apple+iphone&qid=1668807243&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-18
Apple iPhone 13 (128GB) - Pink,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNTg3MzgwNjYyNDk5NjYwOjE2Njg4MDcyNDU6c3BfYXRmOjIwMDc0MjM1MTE4MDAzOjowOjo&url=%2FApple-iPhone-13-128GB-Pink%2Fdp%2FB09G9FPGTN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807245%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 13 Mini (128GB) - Pink,64900,4.5 out of 5 stars,"1,341",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNTg3MzgwNjYyNDk5NjYwOjE2Njg4MDcyNDU6c3BfYXRmOjIwMDMwOTI2MTQ2Mjk4OjowOjo&url=%2FApple-iPhone-13-Mini-128GB%2Fdp%2FB09G9L2B3L%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807245%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 12 (128GB) - Green,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5VJWCV/ref=sr_1_3?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-3
Apple iPhone 12 (64GB) - Green,48900,4.6 out of 5 stars,"1,299",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5W16HX/ref=sr_1_4?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-4
Apple iPhone 13 (128GB) - Green,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-5
Apple iPhone 14 128GB Blue,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_6?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-6
Apple iPhone 12 (128GB) - Purple,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B0932MD32V/ref=sr_1_7?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-7
Apple iPhone 12 (64GB) - (Product) RED,48900,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5TGWD1/ref=sr_1_8?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-8
Apple iPhone 11 (64GB) - White,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8C1NJ3/ref=sr_1_9?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-9
Apple iPhone 11 (64GB) - Black,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8DV7BX/ref=sr_1_10?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-10
Apple iPhone 12 (64GB) - Purple,50999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B0932QYBH8/ref=sr_1_11?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-11
Apple iPhone 14 Plus 128GB Blue,88400,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-128GB-Blue/dp/B0BDK62STN/ref=sr_1_12?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-12
Apple iPhone 13 Pro (128GB) - Graphite,111900,4.6 out of 5 stars,"1,492",https://www.amazon.in//Apple-iPhone-13-Pro-128GB/dp/B09G91LWTZ/ref=sr_1_13?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-13
Apple iPhone 14 Plus 256GB Blue,99900,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-256GB-Blue/dp/B0BDJQHJZZ/ref=sr_1_14?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-14
Apple iPhone 14 Plus 128GB Midnight,88400,4.6 out of 5 stars,72,https://www.amazon.in//Apple-iPhone-Plus-128GB-Midnight/dp/B0BDJKL7KM/ref=sr_1_15?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-15
Apple iPhone 12 (128GB) - Black,55999,4.6 out of 5 stars,"3,354",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5WD9D6/ref=sr_1_16?keywords=Apple+iphone&qid=1668807245&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-16
