,is_hidden,slot,ability.name,ability.url,pokedex_nr
0,False,1,overgrow,https://pokeapi.co/api/v2/ability/65/,001
1,True,3,chlorophyll,https://pokeapi.co/api/v2/ability/34/,001
2,False,1,overgrow,https://pokeapi.co/api/v2/ability/65/,002
3,True,3,chlorophyll,https://pokeapi.co/api/v2/ability/34/,002
4,False,1,overgrow,https://pokeapi.co/api/v2/ability/65/,003
5,True,3,chlorophyll,https://pokeapi.co/api/v2/ability/34/,003
6,False,1,blaze,https://pokeapi.co/api/v2/ability/66/,004
7,True,3,solar-power,https://pokeapi.co/api/v2/ability/94/,004
8,False,1,blaze,https://pokeapi.co/api/v2/ability/66/,005
9,True,3,solar-power,https://pokeapi.co/api/v2/ability/94/,005
10,False,1,blaze,https://pokeapi.co/api/v2/ability/66/,006
11,True,3,solar-power,https://pokeapi.co/api/v2/ability/94/,006
12,False,1,torrent,https://pokeapi.co/api/v2/ability/67/,007
13,True,3,rain-dish,https://pokeapi.co/api/v2/ability/44/,007
14,False,1,torrent,https://pokeapi.co/api/v2/ability/67/,008
15,True,3,rain-dish,https://pokeapi.co/api/v2/ability/44/,008
16,False,1,torrent,https://pokeapi.co/api/v2/ability/67/,009
17,True,3,rain-dish,https://pokeapi.co/api/v2/ability/44/,009
18,False,1,shield-dust,https://pokeapi.co/api/v2/ability/19/,010
19,True,3,run-away,https://pokeapi.co/api/v2/ability/50/,010
20,False,1,shed-skin,https://pokeapi.co/api/v2/ability/61/,011
21,False,1,compound-eyes,https://pokeapi.co/api/v2/ability/14/,012
22,True,3,tinted-lens,https://pokeapi.co/api/v2/ability/110/,012
23,False,1,shield-dust,https://pokeapi.co/api/v2/ability/19/,013
24,True,3,run-away,https://pokeapi.co/api/v2/ability/50/,013
25,False,1,shed-skin,https://pokeapi.co/api/v2/ability/61/,014
26,False,1,swarm,https://pokeapi.co/api/v2/ability/68/,015
27,True,3,sniper,https://pokeapi.co/api/v2/ability/97/,015
28,False,1,keen-eye,https://pokeapi.co/api/v2/ability/51/,016
29,False,2,tangled-feet,https://pokeapi.co/api/v2/ability/77/,016
30,True,3,big-pecks,https://pokeapi.co/api/v2/ability/145/,016
31,False,1,keen-eye,https://pokeapi.co/api/v2/ability/51/,017
32,False,2,tangled-feet,https://pokeapi.co/api/v2/ability/77/,017
33,True,3,big-pecks,https://pokeapi.co/api/v2/ability/145/,017
34,False,1,keen-eye,https://pokeapi.co/api/v2/ability/51/,018
35,False,2,tangled-feet,https://pokeapi.co/api/v2/ability/77/,018
36,True,3,big-pecks,https://pokeapi.co/api/v2/ability/145/,018
37,False,1,run-away,https://pokeapi.co/api/v2/ability/50/,019
38,False,2,guts,https://pokeapi.co/api/v2/ability/62/,019
39,True,3,hustle,https://pokeapi.co/api/v2/ability/55/,019
40,False,1,run-away,https://pokeapi.co/api/v2/ability/50/,020
41,False,2,guts,https://pokeapi.co/api/v2/ability/62/,020
42,True,3,hustle,https://pokeapi.co/api/v2/ability/55/,020
43,False,1,keen-eye,https://pokeapi.co/api/v2/ability/51/,021
44,True,3,sniper,https://pokeapi.co/api/v2/ability/97/,021
45,False,1,keen-eye,https://pokeapi.co/api/v2/ability/51/,022
46,True,3,sniper,https://pokeapi.co/api/v2/ability/97/,022
47,False,1,intimidate,https://pokeapi.co/api/v2/ability/22/,023
48,False,2,shed-skin,https://pokeapi.co/api/v2/ability/61/,023
49,True,3,unnerve,https://pokeapi.co/api/v2/ability/127/,023
50,False,1,intimidate,https://pokeapi.co/api/v2/ability/22/,024
51,False,2,shed-skin,https://pokeapi.co/api/v2/ability/61/,024
52,True,3,unnerve,https://pokeapi.co/api/v2/ability/127/,024
53,False,1,static,https://pokeapi.co/api/v2/ability/9/,025
54,True,3,lightning-rod,https://pokeapi.co/api/v2/ability/31/,025
55,False,1,static,https://pokeapi.co/api/v2/ability/9/,026
56,True,3,lightning-rod,https://pokeapi.co/api/v2/ability/31/,026
57,False,1,sand-veil,https://pokeapi.co/api/v2/ability/8/,027
58,True,3,sand-rush,https://pokeapi.co/api/v2/ability/146/,027
59,False,1,sand-veil,https://pokeapi.co/api/v2/ability/8/,028
60,True,3,sand-rush,https://pokeapi.co/api/v2/ability/146/,028
61,False,1,poison-point,https://pokeapi.co/api/v2/ability/38/,029
62,False,2,rivalry,https://pokeapi.co/api/v2/ability/79/,029
63,True,3,hustle,https://pokeapi.co/api/v2/ability/55/,029
64,False,1,poison-point,https://pokeapi.co/api/v2/ability/38/,030
65,False,2,rivalry,https://pokeapi.co/api/v2/ability/79/,030
66,True,3,hustle,https://pokeapi.co/api/v2/ability/55/,030
67,False,1,poison-point,https://pokeapi.co/api/v2/ability/38/,031
68,False,2,rivalry,https://pokeapi.co/api/v2/ability/79/,031
69,True,3,sheer-force,https://pokeapi.co/api/v2/ability/125/,031
70,False,1,poison-point,https://pokeapi.co/api/v2/ability/38/,032
71,False,2,rivalry,https://pokeapi.co/api/v2/ability/79/,032
72,True,3,hustle,https://pokeapi.co/api/v2/ability/55/,032
73,False,1,poison-point,https://pokeapi.co/api/v2/ability/38/,033
74,False,2,rivalry,https://pokeapi.co/api/v2/ability/79/,033
75,True,3,hustle,https://pokeapi.co/api/v2/ability/55/,033
76,False,1,poison-point,https://pokeapi.co/api/v2/ability/38/,034
77,False,2,rivalry,https://pokeapi.co/api/v2/ability/79/,034
78,True,3,sheer-force,https://pokeapi.co/api/v2/ability/125/,034
79,False,1,cute-charm,https://pokeapi.co/api/v2/ability/56/,035
80,False,2,magic-guard,https://pokeapi.co/api/v2/ability/98/,035
81,True,3,friend-guard,https://pokeapi.co/api/v2/ability/132/,035
82,False,1,cute-charm,https://pokeapi.co/api/v2/ability/56/,036
83,False,2,magic-guard,https://pokeapi.co/api/v2/ability/98/,036
84,True,3,unaware,https://pokeapi.co/api/v2/ability/109/,036
85,False,1,flash-fire,https://pokeapi.co/api/v2/ability/18/,037
86,True,3,drought,https://pokeapi.co/api/v2/ability/70/,037
87,False,1,flash-fire,https://pokeapi.co/api/v2/ability/18/,038
88,True,3,drought,https://pokeapi.co/api/v2/ability/70/,038
89,False,1,cute-charm,https://pokeapi.co/api/v2/ability/56/,039
90,False,2,competitive,https://pokeapi.co/api/v2/ability/172/,039
91,True,3,friend-guard,https://pokeapi.co/api/v2/ability/132/,039
92,False,1,cute-charm,https://pokeapi.co/api/v2/ability/56/,040
93,False,2,competitive,https://pokeapi.co/api/v2/ability/172/,040
94,True,3,frisk,https://pokeapi.co/api/v2/ability/119/,040
95,False,1,inner-focus,https://pokeapi.co/api/v2/ability/39/,041
96,True,3,infiltrator,https://pokeapi.co/api/v2/ability/151/,041
97,False,1,inner-focus,https://pokeapi.co/api/v2/ability/39/,042
98,True,3,infiltrator,https://pokeapi.co/api/v2/ability/151/,042
99,False,1,chlorophyll,https://pokeapi.co/api/v2/ability/34/,043
100,True,3,run-away,https://pokeapi.co/api/v2/ability/50/,043
101,False,1,chlorophyll,https://pokeapi.co/api/v2/ability/34/,044
