Id,ActivityHour,Calories
1503960366,4/12/2016 12:00:00 AM,81
1503960366,4/12/2016 1:00:00 AM,61
1503960366,4/12/2016 2:00:00 AM,59
1503960366,4/12/2016 3:00:00 AM,47
1503960366,4/12/2016 4:00:00 AM,48
1503960366,4/12/2016 5:00:00 AM,48
1503960366,4/12/2016 6:00:00 AM,48
1503960366,4/12/2016 7:00:00 AM,47
1503960366,4/12/2016 8:00:00 AM,68
1503960366,4/12/2016 9:00:00 AM,141
1503960366,4/12/2016 10:00:00 AM,99
1503960366,4/12/2016 11:00:00 AM,76
1503960366,4/12/2016 12:00:00 PM,73
1503960366,4/12/2016 1:00:00 PM,66
1503960366,4/12/2016 2:00:00 PM,110
1503960366,4/12/2016 3:00:00 PM,151
1503960366,4/12/2016 4:00:00 PM,76
1503960366,4/12/2016 5:00:00 PM,83
1503960366,4/12/2016 6:00:00 PM,124
1503960366,4/12/2016 7:00:00 PM,104
1503960366,4/12/2016 8:00:00 PM,132
1503960366,4/12/2016 9:00:00 PM,100
1503960366,4/12/2016 10:00:00 PM,65
1503960366,4/12/2016 11:00:00 PM,81
1503960366,4/13/2016 12:00:00 AM,69
1503960366,4/13/2016 1:00:00 AM,48
1503960366,4/13/2016 2:00:00 AM,47
1503960366,4/13/2016 3:00:00 AM,53
1503960366,4/13/2016 4:00:00 AM,47
1503960366,4/13/2016 5:00:00 AM,47
1503960366,4/13/2016 6:00:00 AM,48
1503960366,4/13/2016 7:00:00 AM,59
1503960366,4/13/2016 8:00:00 AM,69
1503960366,4/13/2016 9:00:00 AM,136
1503960366,4/13/2016 10:00:00 AM,77
1503960366,4/13/2016 11:00:00 AM,84
1503960366,4/13/2016 12:00:00 PM,82
1503960366,4/13/2016 1:00:00 PM,72
1503960366,4/13/2016 2:00:00 PM,128
1503960366,4/13/2016 3:00:00 PM,79
1503960366,4/13/2016 4:00:00 PM,71
1503960366,4/13/2016 5:00:00 PM,87
1503960366,4/13/2016 6:00:00 PM,118
1503960366,4/13/2016 7:00:00 PM,73
1503960366,4/13/2016 8:00:00 PM,47
1503960366,4/13/2016 9:00:00 PM,48
1503960366,4/13/2016 10:00:00 PM,74
1503960366,4/13/2016 11:00:00 PM,135
1503960366,4/14/2016 12:00:00 AM,56
1503960366,4/14/2016 1:00:00 AM,54
1503960366,4/14/2016 2:00:00 AM,47
1503960366,4/14/2016 3:00:00 AM,47
1503960366,4/14/2016 4:00:00 AM,47
1503960366,4/14/2016 5:00:00 AM,47
1503960366,4/14/2016 6:00:00 AM,47
1503960366,4/14/2016 7:00:00 AM,47
1503960366,4/14/2016 8:00:00 AM,47
1503960366,4/14/2016 9:00:00 AM,93
1503960366,4/14/2016 10:00:00 AM,109
1503960366,4/14/2016 11:00:00 AM,64
1503960366,4/14/2016 12:00:00 PM,85
1503960366,4/14/2016 1:00:00 PM,137
1503960366,4/14/2016 2:00:00 PM,113
1503960366,4/14/2016 3:00:00 PM,66
1503960366,4/14/2016 4:00:00 PM,88
1503960366,4/14/2016 5:00:00 PM,61
1503960366,4/14/2016 6:00:00 PM,72
