Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1503960366,4/12/2016,728,328,13,25,0,6.05999994277954,0.550000011920929,1.87999999523163
1503960366,4/13/2016,776,217,19,21,0,4.71000003814697,0.689999997615814,1.57000005245209
1503960366,4/14/2016,1218,181,11,30,0,3.91000008583069,0.400000005960464,2.44000005722046
1503960366,4/15/2016,726,209,34,29,0,2.82999992370605,1.25999999046326,2.14000010490417
1503960366,4/16/2016,773,221,10,36,0,5.03999996185303,0.409999996423721,2.71000003814697
1503960366,4/17/2016,539,164,20,38,0,2.50999999046326,0.779999971389771,3.19000005722046
1503960366,4/18/2016,1149,233,16,42,0,4.71000003814697,0.639999985694885,3.25
1503960366,4/19/2016,775,264,31,50,0,5.03000020980835,1.32000005245209,3.52999997138977
1503960366,4/20/2016,818,205,12,28,0,4.23999977111816,0.479999989271164,1.96000003814697
1503960366,4/21/2016,838,211,8,19,0,4.65000009536743,0.349999994039536,1.3400000333786
1503960366,4/22/2016,1217,130,27,66,0,2.24000000953674,1.12000000476837,4.76000022888184
1503960366,4/23/2016,732,262,21,41,0,5.3600001335144,0.870000004768372,2.80999994277954
1503960366,4/24/2016,709,238,5,39,0,3.27999997138977,0.209999993443489,2.92000007629395
1503960366,4/25/2016,814,216,14,73,0,3.94000005722046,0.569999992847443,5.28999996185303
1503960366,4/26/2016,833,279,23,31,0,5.53999996185303,0.920000016689301,2.32999992370605
1503960366,4/27/2016,1108,243,11,78,0,5.40999984741211,0.409999996423721,6.40000009536743
1503960366,4/28/2016,782,189,28,48,0,3.78999996185303,1.1599999666214,3.53999996185303
1503960366,4/29/2016,815,243,12,16,0,5.57999992370605,0.5,1.05999994277954
1503960366,4/30/2016,712,217,34,52,0,4.26999998092651,1.41999995708466,3.55999994277954
1503960366,5/1/2016,730,246,35,33,0,2.92000007629395,1.60000002384186,2.28999996185303
1503960366,5/2/2016,798,277,15,41,0,5.92000007629395,0.569999992847443,3.21000003814697
1503960366,5/3/2016,816,254,24,50,0,4.88000011444092,1.04999995231628,3.73000001907349
1503960366,5/4/2016,1179,203,22,36,0,3.8199999332428,0.870000004768372,2.46000003814697
1503960366,5/5/2016,857,250,24,45,0,4.88000011444092,1.08000004291534,2.92000007629395
1503960366,5/6/2016,754,289,6,24,0,5.80999994277954,0.25,1.97000002861023
1503960366,5/7/2016,833,175,46,37,0,3.13000011444092,2.11999988555908,2.46000003814697
1503960366,5/8/2016,574,203,8,44,0,2.73000001907349,0.319999992847443,3.52999997138977
1503960366,5/9/2016,835,206,11,46,0,3.74000000953674,0.529999971389771,3.45000004768372
1503960366,5/10/2016,746,214,31,46,0,3.25999999046326,1.1599999666214,3.34999990463257
1503960366,5/11/2016,669,251,23,36,0,4.55000019073486,1.00999999046326,2.55999994277954
1503960366,5/12/2016,1440,0,0,0,0,0,0,0
1624580081,4/12/2016,1294,146,0,0,0,5.30999994277954,0,0
1624580081,4/13/2016,1292,148,0,0,0,4.55000019073486,0,0
1624580081,4/14/2016,1204,236,0,0,0.00999999977648258,5.90999984741211,0,0
1624580081,4/15/2016,1344,96,0,0,0,0.970000028610229,0,0
1624580081,4/16/2016,1264,176,0,0,0,3.49000000953674,0,0
1624580081,4/17/2016,1276,127,22,15,0.00999999977648258,1.49000000953674,1.51999998092651,1.02999997138977
1624580081,4/18/2016,1214,202,7,17,0.00999999977648258,4.61999988555908,0.620000004768372,2.15000009536743
1624580081,4/19/2016,1299,141,0,0,0,1.89999997615814,0,0
1624580081,4/20/2016,1289,151,0,0,0,3.23000001907349,0,0
1624580081,4/21/2016,1254,186,0,0,0.0199999995529652,4.1100001335144,0,0
1624580081,4/22/2016,1241,199,0,0,0,2.59999990463257,0,0
1624580081,4/23/2016,1213,227,0,0,0.00999999977648258,5.53999996185303,0,0
1624580081,4/24/2016,1221,185,18,16,0,1.88999998569489,0.910000026226044,1.14999997615814
1624580081,4/25/2016,1238,202,0,0,0.0199999995529652,4.19999980926514,0,0
1624580081,4/26/2016,1300,140,0,0,0.00999999977648258,1.83000004291534,0,0
1624580081,4/27/2016,1233,154,36,17,0,2.46000003814697,1.87000000476837,1.11000001430511
1624580081,4/28/2016,1320,115,5,0,0,1.60000002384186,0.200000002980232,0
1624580081,4/29/2016,1290,150,0,0,0,1.54999995231628,0,0
1624580081,4/30/2016,1182,224,23,11,0.00999999977648258,2.11999988555908,1.27999997138977,0.899999976158142
1624580081,5/1/2016,1020,171,63,186,0.0199999995529652,1.9099999666214,4.19000005722046,21.9200000762939
1624580081,5/2/2016,1261,166,6,7,0,3.47000002861023,0.589999973773956,0.860000014305115
1624580081,5/3/2016,1344,96,0,0,0.0199999995529652,1.3400000333786,0,0
