 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
121.15625,48.37297113,0.375484665,-0.013165488999999999,3.168896321,18.399366600000004,7.449874148999999,65.15929771,0.0
76.96875,36.17555664,0.71289786,3.3887185630000003,2.399665552,17.57099693,9.414652256,102.7229747,0.0
130.5859375,53.22953353,0.133408289,-0.297241641,2.743311037,22.36255299,8.508363784,74.03132420000001,0.0
156.3984375,48.86594223,-0.215988596,-0.171293649,17.47157191,,2.9580659430000003,7.197841911,0.0
84.8046875,36.11765898,0.825012787,3.274125373,2.7901337789999996,20.61800857,8.405008383,76.29112787,0.0
121.0078125,47.17694354,0.229708131,0.09133623,2.036789298,,9.546051121,112.1317212,0.0
79.34375,42.40217372,1.063412906,2.24437669,141.6413043,,-0.7008088170000001,-1.2006531740000002,0.0
109.40625,55.91252061,0.565105947,0.056246664,2.797658863,19.49652729,9.443282129,97.37457842,0.0
95.0078125,40.21980546,0.3475781,1.1531643809999998,2.77006689,18.21774119,7.85120501,70.80193775,0.0
109.15625,47.00223357,0.39418183799999995,0.19029568600000002,4.5785953180000005,,5.702532188999999,36.34249260000001,0.0
130.0859375,46.40262441,-0.04658483099999999,-0.034468391,5.050167224,27.99747644,6.059849442999999,38.15478586,0.0
96.9375,40.53735738,0.419405572,0.755829381,1.9715719059999999,11.63696371,11.62911954,202.68663999999998,0.0
146.6953125,47.80617746,-0.46841878299999995,0.554926309,2.885451505,18.04378053,9.792420652,112.6258021,0.0
128.734375,48.69556005,,0.30780294,5.307692308,25.16229543,5.497543863,32.73983291,0.0
102.3671875,49.842074200000006,0.32951523,0.180464824,1.9188963209999998,14.84679658,11.04450759,141.93611909999998,0.0
125.609375,53.51478102,0.109210844,-0.413431636,2.2466555180000003,13.53869213,9.713802964,129.5236723,0.0
150.09375,56.70047915,-0.256682808,-0.59470588,137.1488294,51.22345555,-0.5409186770000001,0.598846574,0.0
104.5625,46.65879305,0.35050536,0.16534596099999999,0.473244147,9.305756832,22.81086106,559.6798641,0.0
115.78125,53.30571286,,-0.518847463,3.5652173910000005,22.37234155,7.740922135,65.02484401,0.0
133.125,59.95727646,0.012855051000000001,-0.804890239,31.55351171,65.2362543,1.73517963,1.35850768,0.0
125.1484375,46.00001526,0.11433310599999999,-0.041770772000000005,3.218227425,17.95311719,7.517878845,69.18786779,0.0
99.28125,71.95646877,0.765557849,-0.82764003,197.2341137,63.75879799,-1.876387679,2.431296609,0.0
83.9375,45.71271534,0.74877682,1.342901713,1.7474916390000002,12.07057502,11.83855704,,0.0
135.1328125,47.87179674,-0.15598067599999998,0.37556666,5.22993311,,5.7874665279999995,39.37255786,0.0
111.7109375,46.57053661,0.27286062899999997,-0.061646003,2.1396321069999997,16.65571305,9.353872066000001,97.73376005,0.0
127.328125,45.33953665,-0.02866461,-0.20653222899999998,3.9556856189999996,26.25178209,6.815905214,46.62379063,0.0
101.9140625,52.23953653,0.21674266,-0.291253721,9.372073579,35.10621041,4.12515696,16.64677944,0.0
108.7421875,47.58910164,0.462444242,0.245138892,17.37959866,51.98174414,2.84873868,6.6280345579999995,0.0
128.484375,50.99141845,0.058376664,-0.495919613,1.7566889630000002,16.89744287,11.75806781,152.8897009,0.0
102.234375,44.50780907,0.543618819,0.45556247200000005,4.75083612,28.10226412,6.250715402999999,39.41359715,0.0
98.5703125,45.06950944,0.349156883,0.853318645,1.815217391,13.49266378,10.80026393,146.393325,0.0
36.7109375,38.26024216,4.363306569,20.29698008,107.2123746,74.62119531,0.115883054,-0.819637695,1.0
108.7578125,47.47083744,0.233883385,-0.011839737,3.4289297660000004,22.80572595,7.431087285,58.33907469,0.0
117.6796875,47.45704202,0.214801403,-0.13550329,2.7316053510000002,21.99328807,8.401668908,71.5876406,0.0
43.5,28.49122672,4.334565003,26.33986977,39.58528428,75.5334114,1.7061018559999999,1.403351821,1.0
122.09375,50.78346149,0.01799367,-0.417075863,1.7968227419999998,13.68456238,10.42457337,,0.0
