r2022,r2021,Institution,score,course,teaching,feedback,ratio,spend,tariff,value,career,continuation
1,1,Oxford,100,n/a,n/a,n/a,10.1,10,198,6.3,93,99
2,3,Cambridge,97.8,n/a,n/a,n/a,11.4,9.9,206,6.7,93,99
3,2,St Andrews,96.8,93.1,92.3,79.6,11.1,7.3,207,5.6,84,97
4,5,London School of Economics,91.6,80.1,83.1,70.2,12.4,8.7,175,6.9,93,97
5,4,Durham,86.5,83.9,84.8,69.5,13.5,6.5,182,6.7,89,97
6,8,Warwick,85.3,84.6,85.1,70.7,12.8,7,170,5.3,88,97
7,9,Imperial College,84.9,83,85,62.2,11.1,9.2,197,5.1,96,96
8,6,Bath,84.7,87.1,86,63.2,15.1,6.1,167,6.4,91,97
9,14,UCL,82,78.1,81.2,63.2,10.1,7.8,176,6.7,89,96
10,7,Loughborough,81.5,86.8,84.8,70.1,13.5,5.1,150,5.6,85,97
11,12,Glasgow,80.7,85,86.1,65.3,13.1,5.8,202,5.9,85,94
12,13,Edinburgh,79.3,74.1,82,56,11.7,8.8,187,6.4,84,96
13,10,Lancaster,78.8,84.7,84.9,67.7,13,7.7,144,5.3,84,96
14,11,Bristol,76.6,78,83.6,62,13.4,7,164,6.2,86,97
15,16,Exeter,76,80.8,83.3,64.5,15.5,3.3,156,6.5,85,97
16,18,Leeds,75.2,78.8,83,64.7,13.7,6.9,159,6,85,96
17,23,Southampton,74.8,82.3,84.2,68.8,13.2,6,151,6.6,84,95
18,16,York,74.6,81.6,84.6,69.2,13.6,5.1,149,4,84,97
18,15,Strathclyde,74.6,85.5,86.3,65.4,18.9,6.6,199,5.2,86,93
20,20,Aberdeen,74.5,86.1,85.3,66.6,15.7,4.8,184,7,82,94
21,29,Chichester,74.3,83,86,75,14.9,3.4,122,5.9,74,93
22,32,Royal Holloway,74.1,82.3,83.3,68.8,15.1,5.1,130,7,79,94
23,42,King's College London,73.8,75.5,80.5,61.6,11.7,7.7,164,5.7,90,94
24,24,Swansea,73.5,86.2,84.4,71.4,14.8,5.7,130,4.7,84,94
25,30,Aston,73.3,79.4,80.8,65.8,15.8,6,126,6,83,96
26,45,University of the Arts London,73.2,64.5,73.1,73.8,12.8,9.8,140,7,65,91
27,31,Sheffield,72.8,82.3,84.1,67.9,14,4.9,150,5.5,84,96
28,25,Manchester,72.4,76,80,62.5,13.1,8.1,161,5.4,85,96
29,21,Birmingham,72.3,77.4,81.5,59.8,14.7,6.8,152,6.5,87,97
30,77,Leicester,71.6,79.9,81.1,67.3,13.8,6,129,6.4,81,96
31,19,Dundee,71.5,82.5,84.4,66.5,14.5,5.1,177,4.9,88,94
32,33,University for the Creative Arts,71.3,72.4,79.4,76.6,14.1,7.4,134,6.5,63,91
33,46,"Queen's, Belfast",70.8,79.8,82.5,64.3,14.6,4.9,148,6.2,87,95
