Model,RMSE,R^2 Score,MAE,MSE,Execution Time
LR,71.53198315955038,0.6655853098384882,42.08796683221192,4906.032824442506,0.47637128829956055
Ridge,71.53195975977346,0.665578766303157,42.08723818206346,4906.128821418915,0.28203392028808594
Lasso,72.01450239637934,0.6568096535173081,42.09192543435565,5034.776145936374,0.8430032730102539
ElasticNet,79.13825818380568,0.5858840839391268,47.80563759675594,6075.290162455154,0.8507664203643799
KNN,44.59045947757754,0.8924368678281834,22.085775641681153,1578.0056099805709,5.567161321640015
CART,13.87112619469831,0.9947811552830802,1.1475611003170059,76.56309438592903,2.856947660446167
RF,9.887532170296272,0.9966269733412237,0.8669613457408732,49.48400890428468,184.95560932159424
GBM,20.74019935300425,0.9725947775705186,11.353273683981142,402.0484887647979,61.66828656196594
XGBoost,8.454398383271927,0.9968488083506803,2.92793343415569,46.22957699676574,3.062408208847046
LightGBM,8.443987474496604,0.9965805295793418,3.2156694766593765,50.16536240634922,3.9357712268829346
CatBoost,5.676228015988899,0.9989088680589349,2.1128429165287175,16.007458033849126,36.4131178855896
