Model,RMSE,R^2 Score,MAE,MSE,Execution Time
LR,70.04307834784609,0.6655853098384882,42.08796683221192,4906.032824442506,0.03542757034301758
Ridge,70.0437636154634,0.665578766303157,42.08723818206346,4906.128821418915,2.2162649631500244
Lasso,70.1052084599152,0.6649917768971136,42.040219767475165,4914.740253208166,1.7024812698364258
ElasticNet,70.35627628470488,0.6625879498798284,42.02107787330175,4950.005612649725,3.715897798538208
KNN,39.72411874391389,0.8924368678281834,22.085775641681153,1578.0056099805709,6.37768816947937
CART,8.44225405583764,0.9951418409150795,1.1033848041722059,71.27165354330708,3.3038580417633057
RF,6.968251629355629,0.9966901939359489,0.9063523877697105,48.55653077001739,64.83306241035461
GBM,34.435610438766005,0.9191703925764881,19.40251582210346,1185.8112662904505,25.130359888076782
XGBoost,8.459378672215337,0.995122111945242,4.648281218730327,71.56108751993172,4.136552095413208
LightGBM,8.930182616872319,0.9945640484487296,4.742892009779708,79.74816157068852,9.654861450195312
CatBoost,22.01924241725614,0.9669508995695035,13.515727180136386,484.847036629892,10.565703630447388
