precision,recall,f1-score,support
0.7828489562013917,0.8298980256020829,0.8056872037914693,4609.0
0.9597821533305404,0.9907027027027027,0.9749973401425683,9250.0
0.8788796366389099,0.892047637341529,0.8854146806482364,5206.0
0.9180457052797478,0.9306598498162646,0.9243097429387496,6259.0
0.8040067839728641,0.9751864232450501,0.881361840576342,7778.0
0.8503401360544217,0.7074136955291455,0.772320049428483,1767.0
0.8333104678282344,0.8933666715693485,0.8622941510505395,6799.0
0.5815602836879432,0.13431613431613432,0.21823020625415834,1221.0
0.7167070217917676,0.5543071161048689,0.6251319957761353,1068.0
0.7475,0.5387387387387388,0.6261780104712042,1110.0
0.7105809128630706,0.45942320590207913,0.5580448065173116,1491.0
0.8770189201661283,0.8981568998109641,0.8874620593042261,4232.0
0.8198771889924948,0.7833550630160799,0.8012001333481498,4602.0
0.7543103448275862,0.6739409499358151,0.7118644067796611,1558.0
0.8534698083876264,0.8579806848112379,0.8557193019325574,56950.0
0.8024834651167928,0.7329652224022002,0.7524640447876597,56950.0
0.847304453554072,0.8579806848112379,0.8467545343162335,56950.0
0.8554871608946609,0.8634571867021866,0.8469379506913796,56950.0
