precision,recall,f1-score,support
0.8322997416020672,0.6988500759383814,0.7597594055902818,4609.0
0.9641336739037889,0.9793513513513513,0.971682934677679,9250.0
0.8563110443275732,0.8757203227045717,0.8659069325735992,5206.0
0.9193157979667581,0.9102092986100015,0.9147398843930635,6259.0
0.8097951133998028,0.9502442787348933,0.8744158532978408,7778.0
0.7568306010928961,0.7838143746462931,0.7700861829302196,1767.0
0.836130867709815,0.8645389027798206,0.8500976209414997,6799.0
0.5080128205128205,0.2596232596232596,0.3436314363143631,1221.0
0.6659815005138746,0.6067415730337079,0.6349828515433612,1068.0
0.662148070907195,0.5720720720720721,0.6138231029482841,1110.0
0.5675487465181058,0.5466130114017438,0.5568841817560641,1491.0
0.8777540867093105,0.8754725897920604,0.8766118537797231,4232.0
0.8040313549832027,0.7800956106040852,0.7918826513731112,4602.0
0.7618699780861943,0.6694480102695763,0.7126750939528528,1558.0
0.8437549497544922,0.8418437225636524,0.8427982526302837,56950.0
0.7730116713023861,0.7409139093972729,0.7526557132908531,56950.0
0.8393603363514722,0.8418437225636524,0.8382552404240644,56950.0
0.8474893975468977,0.8457395340770341,0.8317706467175531,56950.0
