precision,recall,f1-score,support
0.7848658161020677,0.774137556953786,0.7794647733478972,4609.0
0.9580756734094958,0.9882162162162162,0.9729125645255707,9250.0
0.8690929878048781,0.8761044948136766,0.8725846565907788,5206.0
0.9108230516945182,0.9317782393353571,0.9211814879166008,6259.0
0.8145511180331516,0.9413731036256107,0.8733822389216914,7778.0
0.8653555219364599,0.6474250141482739,0.7406927808352218,1767.0
0.8226287262872629,0.892925430210325,0.8563368361661613,6799.0
0.6289308176100629,0.0819000819000819,0.14492753623188406,1221.0
0.7114285714285714,0.46629213483146065,0.5633484162895926,1068.0
0.7222222222222222,0.43333333333333335,0.5416666666666666,1110.0
0.751412429378531,0.3568075117370892,0.48385629831741706,1491.0
0.8826775431861804,0.869328922495274,0.8759523809523809,4232.0
0.8332532436328688,0.7535853976531942,0.7914194431766316,4602.0
0.749098774333093,0.6668806161745828,0.7056027164685909,1558.0
0.8565701800321421,0.8329411764705882,0.8445904441417621,56950.0
0.807458321218526,0.6914348609591616,0.7230949140290776,56950.0
0.8489845853503445,0.8329411764705882,0.8318580249612143,56950.0
0.8582284054834055,0.8397756632256632,0.8357095510578174,56950.0
